id,value,color
SAL-IT,,
SAL-IT.EDU,,
SAL-IT.EDU.BSC.SOFTWARE,1034580000,#808080
SAL-IT.EDU.BSC.PROMANAGER,96899000,#808081
SAL-IT.EDU.BSC.SEM,90833000,#808082
SAL-IT.EDU.BSC.DESIGNER,53480000,#808083
SAL-IT.EDU.BSC.TPM,47465000,#808084
SAL-IT.EDU.BSC.ARCH,31937000,#808085
SAL-IT.EDU.BSC.CONSULTANT,29585000,#808086
SAL-IT.EDU.BSC.MARKETING,28830000,#FF9900
SAL-IT.EDU.BSC.DATA SCIENTIST,27471000,#FF9901
SAL-IT.EDU.BSC.HARDWARE ENGR,27200000,#FF9902
SAL-IT.EDU.BSC.BIZ ANALYST,27008000,#FF9903
SAL-IT.EDU.BSC.RECRUITER,22360000,#FF9904
SAL-IT.EDU.BSC.MECH ENGR,17475000,#F6854D
SAL-IT.EDU.BSC.SALES,15850000,#F6854D
SAL-IT.EDU.BSC.HUM RESOURCES,11028000,#F6854D
